tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
PI26-9	PI26	0.0		Conglomerate	Breccia		Matrix	-31.0	-6.0	0	84.0	-43	This study	SO-CMD-NORTH	g	i
PI24c-1	PI24c	0.0		Conglomerate	Breccia		Clast	-51.0	-6.0	0	84.0	-62	This study	SO-CMD-NORTH	g	i
PI24c-2	PI24c	0.0		Conglomerate	Breccia		Clast	-95.0	-6.0	0	84.0	-53	This study	SO-CMD-NORTH	g	i
PI24c-3	PI24c	0.0		Conglomerate	Breccia		Clast	-73.0	-6.0	0	84.0	-81	This study	SO-CMD-NORTH	g	i
PI24c-4	PI24c	0.0		Conglomerate	Breccia		Clast	-95.0	-6.0	0	84.0	-76	This study	SO-CMD-NORTH	g	i
PI24c-6	PI24c	0.0		Conglomerate	Breccia		Clast	-51.0	-6.0	0	84.0	-102	This study	SO-CMD-NORTH	g	i
PI24c-7	PI24c	0.0		Conglomerate	Breccia		Clast	254.0	-6.0	0	84.0	-112	This study	SO-CMD-NORTH	g	i
PI24c-8	PI24c	0.0		Conglomerate	Breccia		Clast	230.0	-6.0	0	84.0	-102	This study	SO-CMD-NORTH	g	i
PI32-1	PI32	1.45	Igneous	Baked Contact	Basalt			143.2	-5.8	42	207.2	-72	This study	SO-CMD-NORTH	g	i
PI32-2	PI32	1.4	Igneous	Baked Contact	Basalt			151.2	-5.8	42	207.2	-94	This study	SO-CMD-NORTH	g	i
PI32-3	PI32	1.2	Igneous	Baked Contact	Basalt			184.2	-5.8	42	207.2	-65	This study	SO-CMD-NORTH	g	i
PI32-4	PI32	1.4	Igneous	Baked Contact	Basalt			129.2	-5.8	42	207.2	-94	This study	SO-CMD-NORTH	g	i
PI32-5	PI32	1.4	Igneous	Baked Contact	Basalt			109.2	-5.8	42	207.2	-60	This study	SO-CMD-NORTH	g	i
PI32-6	PI32	1.3	Igneous	Baked Contact	Basalt			168.2	-5.8	42	207.2	-70	This study	SO-CMD-NORTH	g	i
PI32-7	PI32	0.7	Igneous	Baked Contact	Basalt			138.2	-5.8	42	207.2	-54	This study	SO-CMD-NORTH	g	i
PI32-8	PI32	0.65	Igneous	Baked Contact	Basalt			139.2	-5.8	42	207.2	-51	This study	SO-CMD-NORTH	g	i
PI32-9	PI32	0.6	Igneous	Baked Contact	Basalt			138.2	-5.8	42	207.2	-51	This study	SO-CMD-NORTH	g	i
PI24H-16	PI24H	0.0	Metamorphic	Baked Contact	Schist			-62.9	0.0	0	90.0	-64	This study	SO-CMD-NORTH	g	i
PI24H-17	PI24H	0.0	Metamorphic	Baked Contact	Schist			-78.7	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
PI24H-18	PI24H	0.0	Metamorphic	Baked Contact	Schist			-51.9	0.0	0	90.0	-87	This study	SO-CMD-NORTH	g	i
PI24H-19	PI24H	0.0	Metamorphic	Baked Contact	Schist			-90.9	0.0	0	90.0	-45	This study	SO-CMD-NORTH	g	i
PI24H-20	PI24H	0.0	Metamorphic	Baked Contact	Schist			233.1	0.0	0	90.0	-43	This study	SO-CMD-NORTH	g	i
