tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI22-4	PI22	PI22-4b	PI22-4b:LP-DIR-T	hargrave 2014-10-10 20:27:17	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	823	623	K		2	HT	u	10.4	153.1	l	g	20.0	9.7	10	-1
	This study	unknown	PI22-4	PI22	PI22-4b	PI22-4b:LP-DIR-T	hargrave 2014-10-10 20:27:17	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	473	298	K		2	LT	u	30.9	17.3	l	g	60.5	14.5	8	0
	This study	unknown	PI22-4	PI22	PI22-4b	PI22-4b:LP-DIR-T	hargrave 2014-10-10 20:27:17	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	823	623	K		2	HT	u	10.4	95.2	l	g	50.3	9.7	10	0
	This study	unknown	PI22-5	PI22	PI22-5b	PI22-5b:LP-DIR-T	hargrave 2014-10-11 13:31:14	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	423	323	K		2	LT	u	46.7	157.5	l	g	62.3	15.2	5	-1
	This study	unknown	PI22-5	PI22	PI22-5b	PI22-5b:LP-DIR-T	hargrave 2014-10-11 13:31:14	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	823	573	K		2	HT	u	14.1	191.6	l	g	17.5	4.3	12	-1
	This study	unknown	PI22-5	PI22	PI22-5b	PI22-5b:LP-DIR-T	hargrave 2014-10-11 13:31:14	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	423	323	K		2	LT	u	46.7	347.4	l	g	79.5	15.2	5	0
	This study	unknown	PI22-5	PI22	PI22-5b	PI22-5b:LP-DIR-T	hargrave 2014-10-11 13:31:14	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	823	573	K		2	HT	u	14.1	104.7	l	g	44.7	4.3	12	0
	This study	unknown	PI22-6	PI22	PI22-6b	PI22-6b:LP-DIR-T	hargrave 2014-10-10 20:30:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	448	298	K		2	LT	u	20.6	159.6	l	g	71.3	11.0	7	-1
	This study	unknown	PI22-6	PI22	PI22-6b	PI22-6b:LP-DIR-T	hargrave 2014-10-10 20:30:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	748	573	K		2	HT	u	6.2	166.9	l	g	42.9	2.5	8	-1
	This study	unknown	PI22-6	PI22	PI22-6b	PI22-6b:LP-DIR-T	hargrave 2014-10-10 20:30:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	448	298	K		2	LT	u	20.6	323.7	l	g	77.8	11.0	7	0
	This study	unknown	PI22-6	PI22	PI22-6b	PI22-6b:LP-DIR-T	hargrave 2014-10-10 20:30:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	748	573	K		2	HT	u	6.2	83.9	l	g	69.3	2.5	8	0
	This study	unknown	PI22-7	PI22	PI22-7b	PI22-7b:LP-DIR-T	hargrave 2014-10-10 20:31:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	373	298	K		2	LT	u	35.0	154.6	l	g	62.6	9.2	4	-1
