tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	PI24H-28	PI24H	SO-CMD-NORTH	248.1	0.0	90.0		0.0	-41.0	0		
This study	unknown	PI24H-29	PI24H	SO-CMD-NORTH	-69.9	0.0	90.0		0.0	-31.0	0		
This study	unknown	PI24H-30	PI24H	SO-CMD-NORTH	166.1	0.0	90.0		0.0	-25.0	0		
This study	unknown	PI24H-31	PI24H	SO-CMD-NORTH	26.1	0.0	90.0		0.0	-11.0	0		
This study	unknown	PI24H-32	PI24H	SO-CMD-NORTH	41.1	0.0	90.0		0.0	-9.0	0		
This study	Slate Islands	PI24m-9	PI24m	SO-CMD-NORTH	227.0	0.0	84.0		-6.0	-120.0	0		
This study	Slate Islands	PI24m-10	PI24m	SO-CMD-NORTH	-66.0	0.0	84.0		-6.0	-90.0	0		
This study	Slate Islands	PI24m-11	PI24m	SO-CMD-NORTH	-75.0	0.0	84.0		-6.0	-72.0	0		
This study	Slate Islands	PI24m-12	PI24m	SO-CMD-NORTH	-59.0	0.0	84.0		-6.0	-82.0	0		
This study	Slate Islands	PI24m-13	PI24m	SO-CMD-NORTH	230.0	0.0	84.0		-6.0	-88.0	0		
This study	Slate Islands	PI24m-14	PI24m	SO-CMD-NORTH	260.0	0.0	84.0		-6.0	-78.0	0		
This study	unknown	PI26-1	PI26	SO-CMD-NORTH	-11.0	0.0	84.0		-6.0	-23.0	0		
This study	unknown	PI26-2	PI26	SO-CMD-NORTH	-30.0	0.0	84.0		-6.0	-32.0	0		
This study	unknown	PI26-3	PI26	SO-CMD-NORTH	-7.0	0.0	84.0		-6.0	-48.0	0		
This study	unknown	PI26-4	PI26	SO-CMD-NORTH	36.0	0.0	84.0		-6.0	-61.0	0		
This study	unknown	PI26-5	PI26	SO-CMD-NORTH	50.0	0.0	84.0		-6.0	-22.0	0		
This study	unknown	PI26-6	PI26	SO-CMD-NORTH	44.0	0.0	84.0		-6.0	-25.0	0		
This study	unknown	PI26-7	PI26	SO-CMD-NORTH	-7.0	0.0	84.0		-6.0	-19.0	0		
This study	unknown	PI26-8	PI26	SO-CMD-NORTH	-43.0	0.0	84.0		-6.0	-25.0	0		
This study	unknown	PI26-9	PI26	SO-CMD-NORTH	-31.0	0.0	84.0		-6.0	-43.0	0		
This study	unknown	PI2c-1	PI2c	SO-CMD-NORTH	83.2	0.0	84.2		-5.8	-47.0	0		
This study	unknown	PI2c-3	PI2c	SO-CMD-NORTH	79.2	0.0	84.2		-5.8	-28.0	0		
This study	unknown	PI2c-4	PI2c	SO-CMD-NORTH	38.2	0.0	84.2		-5.8	-34.0	0		
This study	unknown	PI2c-6	PI2c	SO-CMD-NORTH	116.2	0.0	84.2		-5.8	-54.0	0		
This study	unknown	PI2c-7	PI2c	SO-CMD-NORTH	11.2	0.0	84.2		-5.8	-36.0	0		
This study	unknown	PI2c-8	PI2c	SO-CMD-NORTH	61.2	0.0	84.2		-5.8	-42.0	0		
This study	unknown	PI2c-9	PI2c	SO-CMD-NORTH	91.2	0.0	84.2		-5.8	-28.0	0		
This study	unknown	PI2c-10	PI2c	SO-CMD-NORTH	82.2	0.0	84.2		-5.8	-23.0	0		
This study	unknown	PI2c-11	PI2c	SO-CMD-NORTH	130.2	0.0	84.2		-5.8	-22.0	0		
This study	unknown	PI2c-12	PI2c	SO-CMD-NORTH	93.2	0.0	84.2		-5.8	-21.0	0		
